Index,User ID,Exposure ID,Audience Segment ID,Segment Type,Age,Gender,Income,Interests,Device,Browser,Operating System,Location (DMA)
3654,U0596,P509b697,AS152,1P Audience,28,Male,81908,Travel,Smartphone,Opera,Windows,"Salem, Oregon"
3653,U0806,P4c6279a,AS255,1P Audience,28,Female,65047,"Auto, Music, Art",Desktop,Edge,Windows,"Portland, Oregon"
3652,U0612,Pf515853,AS446,Custom Audience,61,Female,105374,Auto,Tablet,Firefox,Windows,"Eugene, Oregon"
3651,U0320,Ob5e85a4,AS154,1P Audience,43,Male,117392,"Music, Travel",Smartphone,Edge,Android,"Salem, Oregon"
3650,U0610,P549f938,AS120,Custom Audience,25,Male,20133,"Art, Music, Sports",Desktop,Safari,macOS,"Portland, Oregon"
3649,U0196,O0910fcb,AS149,Custom Audience,43,Male,118348,Food,Desktop,Edge,Linux,"Salem, Oregon"
3648,U0197,O709b71e,AS055,Custom Audience,60,Male,91387,Fitness,Smartphone,Safari,iOS,"Portland, Oregon"
3647,U0094,P04eda1c,AS485,Custom Audience,53,Male,39664,Gaming,Smartphone,Opera,Android,"Salem, Oregon"
3646,U0146,O706ae4f,AS009,1P Audience,60,Female,115468,Food,Laptop,Opera,Android,"Eugene, Oregon"
3645,U0364,P99631dc,AS150,3P Audience,59,Male,30934,Travel,Tablet,Opera,Windows,"Eugene, Oregon"
3644,U0415,P0fd54c7,AS214,Custom Audience,64,Male,49083,"Fitness, Art",Desktop,Chrome,Windows,"Eugene, Oregon"
3643,U0090,P3630a68,AS075,3P Audience,34,Female,103890,"Music, Fashion",Desktop,Firefox,iOS,"Salem, Oregon"
3642,U0494,Oc987ab9,AS094,3P Audience,22,Female,105457,"Fashion, Art, Technology",Smartphone,Edge,Android,"Portland, Oregon"
3641,U0086,Oaa56e69,AS203,3P Audience,50,Female,68519,Travel,Desktop,Firefox,Android,"Salem, Oregon"
3640,U0646,P39fd27f,AS162,1P Audience,52,Female,29189,"Gaming, Travel",Desktop,Safari,Android,"Portland, Oregon"
3639,U0977,P2b95553,AS044,1P Audience,24,Female,82894,Food,Desktop,Opera,Windows,"Salem, Oregon"
3638,U0647,P9a9285a,AS076,3P Audience,49,Male,113122,"Fitness, Sports, Gaming",Tablet,Chrome,Linux,"Eugene, Oregon"
3637,U0602,O1560d83,AS255,Custom Audience,46,Female,103701,"Fitness, Technology",Desktop,Chrome,Linux,"Eugene, Oregon"
3636,U0284,Pef9f858,AS225,Custom Audience,66,Male,29973,Gaming,Tablet,Chrome,iOS,"Salem, Oregon"
3635,U0538,O44b674d,AS020,1P Audience,46,Male,49361,"Fitness, Auto, Gaming",Laptop,Chrome,Linux,"Eugene, Oregon"
3634,U0024,P8d78dbc,AS474,3P Audience,33,Male,35758,Fashion,Desktop,Edge,Android,"Salem, Oregon"
3633,U0536,O8194433,AS221,Custom Audience,31,Female,21383,Travel,Desktop,Edge,iOS,"Portland, Oregon"
3632,U0563,O177c843,AS277,Custom Audience,28,Male,34660,"Fitness, Music",Smartphone,Opera,macOS,"Salem, Oregon"
3631,U0712,Pb0f2f6a,AS480,3P Audience,50,Male,90846,Technology,Tablet,Edge,iOS,"Eugene, Oregon"
3630,U0187,Ocd8f469,AS085,Custom Audience,36,Female,90812,"Technology, Art",Tablet,Edge,macOS,"Eugene, Oregon"
3629,U0276,P781fa29,AS445,3P Audience,22,Male,31991,"Fitness, Auto",Laptop,Firefox,macOS,"Salem, Oregon"
3628,U0667,O437a76e,AS319,1P Audience,53,Female,56166,"Technology, Gaming",Laptop,Opera,macOS,"Portland, Oregon"
3627,U0411,O5a9023f,AS453,Custom Audience,38,Female,51866,Food,Desktop,Firefox,macOS,"Portland, Oregon"
3626,U0522,O787d949,AS290,Custom Audience,51,Female,54109,Technology,Desktop,Chrome,iOS,"Eugene, Oregon"
3625,U0287,P2179940,AS314,3P Audience,59,Female,71186,"Art, Sports, Auto",Desktop,Firefox,iOS,"Salem, Oregon"
3624,U0979,Pab980d0,AS299,1P Audience,52,Male,88238,"Travel, Food",Tablet,Edge,Windows,"Eugene, Oregon"
3623,U0790,Of6fd597,AS408,Custom Audience,33,Female,81223,Music,Tablet,Firefox,Android,"Portland, Oregon"
3622,U0446,Oa81a4f5,AS388,3P Audience,44,Male,45220,"Art, Fashion, Music",Smartphone,Chrome,Android,"Eugene, Oregon"
3621,U0817,O12b58bb,AS190,Custom Audience,30,Male,80517,"Fashion, Technology, Sports",Tablet,Edge,macOS,"Salem, Oregon"
3620,U0842,O684ed94,AS298,1P Audience,31,Male,55950,Sports,Laptop,Edge,Android,"Eugene, Oregon"
3619,U0113,Oe541b7c,AS326,1P Audience,54,Male,55820,"Gaming, Auto",Tablet,Chrome,iOS,"Salem, Oregon"
3618,U0070,O768be9a,AS018,1P Audience,52,Female,25529,Travel,Tablet,Chrome,Android,"Salem, Oregon"
3617,U0412,P2ff5e77,AS434,Custom Audience,57,Female,76012,"Art, Fitness",Tablet,Edge,Android,"Portland, Oregon"
3616,U0534,O314dc3e,AS141,3P Audience,25,Male,99052,"Travel, Sports",Desktop,Firefox,Windows,"Eugene, Oregon"
3615,U0363,P975de48,AS087,3P Audience,49,Male,67112,Fashion,Laptop,Firefox,Android,"Eugene, Oregon"
3614,U0990,O237ac93,AS450,1P Audience,50,Male,100029,"Auto, Gaming, Fitness",Tablet,Chrome,macOS,"Portland, Oregon"
3613,U0298,Ocd3f13e,AS170,3P Audience,60,Male,36950,"Music, Technology",Laptop,Safari,macOS,"Salem, Oregon"
3612,U0341,Oc46e2ea,AS252,1P Audience,49,Male,57555,"Sports, Auto",Smartphone,Safari,Linux,"Eugene, Oregon"
3611,U0789,Pf448b29,AS309,3P Audience,53,Female,65246,"Sports, Art",Desktop,Firefox,Linux,"Eugene, Oregon"
3610,U0730,O39158ab,AS111,1P Audience,44,Male,100403,"Technology, Music",Tablet,Safari,iOS,"Salem, Oregon"
3609,U0513,Oe1f14f5,AS483,3P Audience,44,Female,88597,Gaming,Tablet,Firefox,Android,"Eugene, Oregon"
3608,U0119,P79ee199,AS349,3P Audience,42,Female,56347,"Sports, Technology",Smartphone,Chrome,Windows,"Salem, Oregon"
3607,U0762,O48dedb6,AS122,Custom Audience,34,Female,103026,"Gaming, Sports",Laptop,Edge,macOS,"Portland, Oregon"
3606,U0469,Pbefa39d,AS068,1P Audience,48,Male,81532,"Fashion, Technology, Sports",Laptop,Safari,Linux,"Eugene, Oregon"
3605,U0543,O97b5bbd,AS260,1P Audience,61,Male,39623,"Art, Food",Smartphone,Chrome,macOS,"Eugene, Oregon"
3604,U0389,O9198959,AS227,3P Audience,68,Female,119759,Sports,Laptop,Safari,Linux,"Portland, Oregon"
3603,U0288,Ob898663,AS158,1P Audience,63,Male,44126,"Fashion, Sports, Fitness",Tablet,Chrome,Windows,"Portland, Oregon"
3602,U0832,P986ed74,AS337,Custom Audience,58,Female,95137,"Sports, Food, Music",Desktop,Edge,Linux,"Portland, Oregon"
3601,U0930,O5a33074,AS208,1P Audience,57,Male,71082,Art,Smartphone,Safari,Windows,"Portland, Oregon"
3600,U0612,O76d1e2a,AS280,3P Audience,61,Female,105374,"Sports, Art, Gaming",Desktop,Firefox,Linux,"Portland, Oregon"
3599,U0835,Pd12c74d,AS078,Custom Audience,45,Female,66583,"Auto, Gaming, Music",Laptop,Safari,Linux,"Norman, Oklahoma"
3598,U0072,O39fccec,AS282,1P Audience,69,Female,64839,Fashion,Tablet,Firefox,iOS,"Tulsa, Oklahoma"
3597,U0998,Oe2c75c1,AS269,Custom Audience,23,Female,112984,"Food, Technology, Music",Smartphone,Edge,Windows,"Oklahoma City, Oklahoma"
3596,U0791,O57d53b7,AS493,1P Audience,19,Male,24163,Auto,Tablet,Opera,Android,"Norman, Oklahoma"
3595,U0637,O48d7de9,AS321,3P Audience,56,Female,50619,"Technology, Sports",Laptop,Chrome,Linux,"Tulsa, Oklahoma"
3594,U0859,P49b89e2,AS180,1P Audience,56,Male,98564,"Gaming, Sports",Desktop,Chrome,Windows,"Norman, Oklahoma"
3593,U0259,O2d89354,AS291,Custom Audience,54,Male,84964,"Fashion, Food",Tablet,Edge,Android,"Norman, Oklahoma"
3592,U0627,Pb33c732,AS382,Custom Audience,44,Female,56594,"Auto, Music",Smartphone,Opera,Linux,"Oklahoma City, Oklahoma"
3591,U0380,P064757a,AS085,1P Audience,43,Female,118223,"Gaming, Music, Fitness",Smartphone,Chrome,Linux,"Tulsa, Oklahoma"
3590,U0356,P41e6124,AS137,3P Audience,24,Male,78480,Fashion,Tablet,Chrome,Windows,"Tulsa, Oklahoma"
3589,U0046,P2a0a003,AS365,1P Audience,48,Female,26764,Music,Smartphone,Chrome,Windows,"Norman, Oklahoma"
3588,U0052,Oaa0ba4e,AS054,Custom Audience,21,Female,81874,Technology,Laptop,Firefox,Windows,"Norman, Oklahoma"
3587,U0887,O603bd7c,AS158,3P Audience,44,Male,32370,"Technology, Fitness",Smartphone,Edge,iOS,"Tulsa, Oklahoma"
3586,U0711,Pa2e8b03,AS047,Custom Audience,54,Male,94590,"Auto, Music",Smartphone,Chrome,Android,"Tulsa, Oklahoma"
3585,U0988,O904c8ea,AS189,3P Audience,32,Female,50208,"Fitness, Sports",Smartphone,Opera,macOS,"Tulsa, Oklahoma"
3584,U0612,Oaab688f,AS479,Custom Audience,61,Female,105374,"Fitness, Sports, Fashion",Laptop,Opera,Android,"Tulsa, Oklahoma"
3583,U0796,P55bad59,AS201,3P Audience,63,Female,80297,"Technology, Food",Smartphone,Safari,Linux,"Tulsa, Oklahoma"
3582,U0484,Od0b06c9,AS360,Custom Audience,48,Female,51911,Technology,Desktop,Safari,Windows,"Oklahoma City, Oklahoma"
3581,U0428,O0a0d635,AS098,1P Audience,29,Male,85054,"Technology, Music",Desktop,Chrome,Linux,"Oklahoma City, Oklahoma"
3580,U0466,O59717b7,AS356,1P Audience,40,Female,102182,Gaming,Tablet,Edge,Android,"Norman, Oklahoma"
3579,U0989,O7626acc,AS455,1P Audience,50,Male,45773,Sports,Tablet,Firefox,Linux,"Norman, Oklahoma"
3578,U0918,Ob837e2a,AS444,Custom Audience,28,Male,109013,Sports,Laptop,Edge,iOS,"Norman, Oklahoma"
3577,U0916,P0eb289f,AS265,3P Audience,43,Male,113093,Fitness,Laptop,Firefox,Linux,"Tulsa, Oklahoma"
3576,U0525,O5fe167f,AS016,3P Audience,26,Female,71175,"Food, Art, Travel",Tablet,Opera,Linux,"Oklahoma City, Oklahoma"
3575,U0752,P8074f16,AS199,3P Audience,21,Female,76782,"Travel, Sports",Desktop,Chrome,Android,"Tulsa, Oklahoma"
3574,U0045,O3563e57,AS010,3P Audience,49,Female,48566,"Music, Travel, Technology",Laptop,Chrome,Windows,"Oklahoma City, Oklahoma"
3573,U0469,Obff8183,AS078,Custom Audience,48,Male,81532,Auto,Tablet,Edge,macOS,"Oklahoma City, Oklahoma"
3572,U0516,Peb04ac4,AS409,3P Audience,23,Male,70049,"Fashion, Fitness",Laptop,Chrome,macOS,"Tulsa, Oklahoma"
3571,U0425,O35d394f,AS127,3P Audience,43,Female,30752,Music,Smartphone,Safari,Windows,"Norman, Oklahoma"
3570,U0432,Oc3814e9,AS377,3P Audience,19,Male,92077,"Art, Technology",Desktop,Opera,Windows,"Norman, Oklahoma"
3569,U0035,Ocdeabaa,AS153,3P Audience,61,Female,109093,Auto,Tablet,Edge,macOS,"Oklahoma City, Oklahoma"
3568,U0247,P1ed991c,AS349,1P Audience,61,Male,32596,"Fitness, Food",Laptop,Opera,iOS,"Tulsa, Oklahoma"
3567,U0948,O51643bd,AS375,Custom Audience,19,Male,83457,Food,Laptop,Safari,iOS,"Norman, Oklahoma"
3566,U0112,Peac3024,AS129,1P Audience,54,Female,68722,"Technology, Travel, Art",Desktop,Chrome,macOS,"Norman, Oklahoma"
3565,U0457,O0ca111e,AS280,1P Audience,25,Female,115265,"Travel, Fashion",Laptop,Firefox,iOS,"Norman, Oklahoma"
3564,U0636,Pc52a804,AS267,Custom Audience,64,Male,42851,"Gaming, Travel",Desktop,Safari,Windows,"Oklahoma City, Oklahoma"
3563,U0767,P1042e96,AS212,Custom Audience,66,Female,73579,"Technology, Art",Laptop,Opera,macOS,"Tulsa, Oklahoma"
3562,U0026,P4fbea8e,AS238,1P Audience,19,Female,97241,"Technology, Sports, Travel",Smartphone,Edge,Linux,"Tulsa, Oklahoma"
3561,U0338,Oe5b988e,AS381,Custom Audience,32,Male,28392,"Auto, Travel",Tablet,Edge,Windows,"Oklahoma City, Oklahoma"
3560,U0069,P5f50d00,AS079,1P Audience,38,Female,69136,"Travel, Technology",Desktop,Safari,macOS,"Tulsa, Oklahoma"
3559,U0998,P3a38914,AS472,3P Audience,23,Female,112984,"Auto, Food, Art",Desktop,Safari,Android,"Oklahoma City, Oklahoma"
3558,U0948,O34458f6,AS243,Custom Audience,19,Male,83457,"Auto, Travel, Food",Desktop,Opera,macOS,"Tulsa, Oklahoma"
3557,U0348,P0a1b0f8,AS266,1P Audience,20,Male,21551,"Gaming, Food",Tablet,Edge,Windows,"Norman, Oklahoma"
3556,U0528,Oae445a7,AS049,3P Audience,31,Female,59748,"Technology, Sports, Auto",Laptop,Edge,Windows,"Norman, Oklahoma"
3555,U0154,Pfedf8a5,AS263,Custom Audience,65,Male,79971,"Art, Music",Desktop,Firefox,Linux,"Tulsa, Oklahoma"
3554,U0850,P50f2d2f,AS353,Custom Audience,21,Male,60223,Auto,Laptop,Firefox,Windows,"Tulsa, Oklahoma"
3553,U0175,O95e451e,AS322,Custom Audience,69,Female,107232,Art,Tablet,Edge,macOS,"Tulsa, Oklahoma"
3552,U0746,O402aa15,AS002,3P Audience,63,Male,116919,Gaming,Laptop,Firefox,Linux,"Tulsa, Oklahoma"
3551,U0963,Pdc8bc33,AS286,1P Audience,51,Male,89797,"Food, Fashion",Desktop,Firefox,Windows,"Tulsa, Oklahoma"
3550,U0960,P7ff2cab,AS390,Custom Audience,61,Female,98573,"Gaming, Music, Fitness",Desktop,Edge,iOS,"Oklahoma City, Oklahoma"
3549,U0935,O1b4a10f,AS472,Custom Audience,32,Female,69714,"Music, Food",Laptop,Edge,iOS,"Norman, Oklahoma"
3548,U0484,O118f0df,AS451,1P Audience,48,Female,51911,"Travel, Sports",Smartphone,Opera,macOS,"Oklahoma City, Oklahoma"
3547,U0034,O883be33,AS198,Custom Audience,52,Female,30567,Fashion,Smartphone,Safari,Linux,"Tulsa, Oklahoma"
3546,U0016,P49a82c4,AS229,Custom Audience,43,Male,80007,"Music, Technology",Smartphone,Firefox,iOS,"Oklahoma City, Oklahoma"
3545,U0228,O8408e25,AS019,3P Audience,63,Female,80591,"Technology, Travel",Laptop,Edge,Linux,"Oklahoma City, Oklahoma"
3544,U0758,P159323c,AS058,1P Audience,19,Female,117156,Art,Tablet,Firefox,Windows,"Oklahoma City, Oklahoma"
3543,U0179,O755f5a8,AS357,1P Audience,29,Female,51691,Fashion,Desktop,Edge,macOS,"Oklahoma City, Oklahoma"
3542,U0523,P7541428,AS315,Custom Audience,53,Female,100347,"Sports, Technology",Smartphone,Edge,iOS,"Norman, Oklahoma"
3541,U0790,Pb57c84c,AS073,1P Audience,33,Female,81223,Food,Smartphone,Edge,Linux,"Tulsa, Oklahoma"
3540,U0294,O7b60e88,AS426,Custom Audience,18,Male,85913,Auto,Tablet,Edge,Windows,"Norman, Oklahoma"
3539,U0962,P5c1c871,AS026,1P Audience,33,Female,82756,"Fashion, Gaming, Fitness",Tablet,Opera,macOS,"Tulsa, Oklahoma"
3538,U0738,P9ad5e24,AS390,Custom Audience,23,Male,90931,Sports,Tablet,Safari,Android,"Oklahoma City, Oklahoma"
3537,U0184,Pb476095,AS392,3P Audience,49,Male,45096,"Sports, Food, Technology",Laptop,Edge,iOS,"Norman, Oklahoma"
3536,U0057,Oc7d6e0f,AS429,1P Audience,35,Female,47982,"Gaming, Fashion",Desktop,Opera,Linux,"Oklahoma City, Oklahoma"
3535,U0773,O5152b28,AS207,1P Audience,26,Male,86968,"Travel, Technology",Smartphone,Chrome,iOS,"Oklahoma City, Oklahoma"
3534,U0008,Oc29153c,AS196,3P Audience,52,Male,47486,"Fashion, Sports, Fitness",Tablet,Firefox,Windows,"Norman, Oklahoma"
3533,U0604,Oae13712,AS223,3P Audience,30,Female,61429,"Sports, Music",Laptop,Firefox,iOS,"Norman, Oklahoma"
3532,U0890,O1aba4a2,AS031,1P Audience,69,Female,76998,Auto,Desktop,Edge,iOS,"Oklahoma City, Oklahoma"
3531,U0296,Od2fef74,AS074,1P Audience,18,Female,72514,Technology,Smartphone,Opera,Linux,"Norman, Oklahoma"
3530,U0792,O19bec5d,AS099,1P Audience,22,Female,105916,"Fashion, Gaming",Laptop,Opera,Android,"Norman, Oklahoma"
3529,U0238,O119c75a,AS386,1P Audience,49,Male,21178,Food,Laptop,Safari,iOS,"Tulsa, Oklahoma"
3528,U0985,O693067f,AS381,Custom Audience,34,Female,50769,"Gaming, Music, Travel",Desktop,Edge,iOS,"Oklahoma City, Oklahoma"
3527,U0483,Oba1e0c5,AS059,Custom Audience,54,Female,52875,Art,Tablet,Edge,macOS,"Tulsa, Oklahoma"
3526,U0984,O6b98285,AS420,1P Audience,45,Female,106441,"Technology, Fashion, Art",Laptop,Edge,iOS,"Norman, Oklahoma"
3525,U0247,Pa398a1b,AS425,1P Audience,61,Male,32596,Technology,Tablet,Chrome,iOS,"Oklahoma City, Oklahoma"
3524,U0284,O610a464,AS187,1P Audience,66,Male,29973,"Fashion, Gaming",Laptop,Safari,Windows,"Oklahoma City, Oklahoma"
3523,U0045,P83bc0bb,AS442,3P Audience,49,Female,48566,Food,Desktop,Opera,Android,"Oklahoma City, Oklahoma"
3522,U0662,O7b67a35,AS406,Custom Audience,65,Female,88259,"Fitness, Fashion",Tablet,Opera,Windows,"Norman, Oklahoma"
3521,U0002,Paa45030,AS105,1P Audience,21,Female,55824,Technology,Desktop,Edge,macOS,"Norman, Oklahoma"
3520,U0807,Oc60a97c,AS020,3P Audience,55,Male,72762,"Technology, Sports, Music",Laptop,Opera,Android,"Tulsa, Oklahoma"
3519,U0750,O197e239,AS469,3P Audience,18,Female,55945,"Fitness, Gaming",Laptop,Safari,Android,"Oklahoma City, Oklahoma"
3518,U0846,O4ee3b93,AS142,1P Audience,53,Male,56566,Auto,Smartphone,Firefox,macOS,"Oklahoma City, Oklahoma"
3517,U0554,O055fd4e,AS233,1P Audience,29,Male,67306,"Travel, Food",Smartphone,Chrome,iOS,"Tulsa, Oklahoma"
3516,U0053,O315b9d6,AS027,3P Audience,69,Male,79459,"Travel, Food",Smartphone,Opera,Windows,"Norman, Oklahoma"
3515,U0840,O6b77fbb,AS480,3P Audience,34,Female,67109,"Sports, Fashion",Desktop,Chrome,macOS,"Tulsa, Oklahoma"
3514,U0039,O33c955a,AS201,1P Audience,68,Female,85273,"Music, Fashion, Fitness",Laptop,Edge,Android,"Norman, Oklahoma"
3513,U0304,O839d968,AS385,1P Audience,62,Female,29938,"Fashion, Auto, Art",Smartphone,Edge,Windows,"Norman, Oklahoma"
3512,U0436,P01e50b3,AS433,3P Audience,68,Female,39819,Fitness,Tablet,Safari,macOS,"Oklahoma City, Oklahoma"
3511,U0111,O9aa179d,AS491,1P Audience,24,Female,106377,"Fashion, Gaming, Food",Tablet,Edge,macOS,"Oklahoma City, Oklahoma"
3510,U0747,P45bdc35,AS254,Custom Audience,33,Male,41610,"Travel, Auto, Art",Smartphone,Edge,Linux,"Norman, Oklahoma"
3509,U0570,P4d0e52d,AS064,1P Audience,33,Female,71005,"Sports, Food",Laptop,Firefox,macOS,"Norman, Oklahoma"
3508,U0300,Pfd361c0,AS228,Custom Audience,44,Male,35611,"Gaming, Music",Smartphone,Safari,Linux,"Oklahoma City, Oklahoma"
3507,U0711,P0bcad62,AS209,3P Audience,54,Male,94590,Auto,Desktop,Opera,Windows,"Norman, Oklahoma"
3506,U0298,O64fbc25,AS079,3P Audience,60,Male,36950,"Music, Travel, Sports",Smartphone,Firefox,macOS,"Oklahoma City, Oklahoma"
3505,U0431,Oa2cb946,AS350,Custom Audience,40,Male,97742,Sports,Desktop,Edge,Linux,"Norman, Oklahoma"
3504,U0255,O7ab7c4a,AS331,Custom Audience,50,Female,62023,"Sports, Fitness",Desktop,Edge,iOS,"Norman, Oklahoma"
3503,U0273,Pe35d264,AS336,3P Audience,27,Female,35084,Fitness,Desktop,Edge,Linux,"Oklahoma City, Oklahoma"
3502,U0372,O011c722,AS019,1P Audience,57,Male,85695,Art,Tablet,Opera,Android,"Norman, Oklahoma"
3501,U0351,O341ca17,AS417,Custom Audience,41,Female,103546,Art,Desktop,Firefox,Windows,"Oklahoma City, Oklahoma"
3500,U0300,P1894314,AS469,Custom Audience,44,Male,35611,Technology,Laptop,Chrome,iOS,"Norman, Oklahoma"
3499,U0303,P6e01d89,AS377,3P Audience,52,Male,82409,Travel,Smartphone,Opera,Android,"Cleveland, Ohio"
3498,U0283,O64bab8f,AS067,1P Audience,28,Female,64480,"Technology, Sports, Fashion",Desktop,Edge,Android,"Columbus, Ohio"
3497,U0947,O29972f3,AS421,1P Audience,50,Female,44272,"Gaming, Fitness, Music",Tablet,Safari,Windows,"Cleveland, Ohio"
3496,U0762,O64105c8,AS449,Custom Audience,34,Female,103026,"Music, Food",Desktop,Chrome,macOS,"Columbus, Ohio"
3495,U0946,P4ff954f,AS045,3P Audience,36,Female,73535,Food,Smartphone,Opera,Windows,"Columbus, Ohio"
3494,U0999,Oed1d33d,AS474,3P Audience,40,Male,37535,"Gaming, Art",Desktop,Edge,macOS,"Columbus, Ohio"
3493,U0848,P4225ad1,AS042,Custom Audience,28,Male,107742,"Technology, Fashion, Gaming",Desktop,Opera,Windows,"Cincinnati, Ohio"
3492,U0771,P169b8eb,AS299,3P Audience,64,Male,49411,Art,Smartphone,Safari,Linux,"Cincinnati, Ohio"
3491,U0999,O10ef6dc,AS434,3P Audience,40,Male,37535,"Sports, Travel, Art",Desktop,Opera,Windows,"Cleveland, Ohio"
3490,U0527,P8ec7e11,AS238,3P Audience,66,Male,59082,Food,Laptop,Chrome,Windows,"Cincinnati, Ohio"
3489,U0591,Ob6c61d5,AS172,Custom Audience,51,Male,44246,"Travel, Food, Sports",Laptop,Opera,Windows,"Columbus, Ohio"
3488,U0555,P69b8460,AS355,Custom Audience,34,Male,70465,"Food, Travel, Art",Laptop,Opera,Linux,"Cincinnati, Ohio"
3487,U0580,Of1dde1d,AS446,3P Audience,32,Female,111839,"Sports, Auto",Tablet,Opera,macOS,"Cleveland, Ohio"
3486,U0954,O77dc86f,AS059,1P Audience,53,Female,103852,"Fashion, Technology",Laptop,Firefox,Android,"Cincinnati, Ohio"
3485,U0766,Oda31624,AS230,3P Audience,55,Female,56460,Art,Smartphone,Safari,iOS,"Columbus, Ohio"
3484,U0634,P46ddc9e,AS001,1P Audience,51,Male,74963,Sports,Tablet,Opera,Android,"Cleveland, Ohio"
3483,U0224,Pa482882,AS223,1P Audience,51,Female,101939,"Sports, Music, Fashion",Smartphone,Safari,Android,"Cincinnati, Ohio"
3482,U0709,O76e2f8a,AS028,3P Audience,67,Male,73488,"Art, Travel",Smartphone,Chrome,Windows,"Cincinnati, Ohio"
3481,U0781,Pb67f19a,AS303,Custom Audience,41,Female,114692,"Food, Travel",Desktop,Safari,Linux,"Cleveland, Ohio"
3480,U0757,O3c7b0db,AS149,3P Audience,42,Female,51146,Sports,Smartphone,Safari,iOS,"Cincinnati, Ohio"
3479,U0579,Oe47248b,AS189,1P Audience,25,Female,40566,"Auto, Travel",Desktop,Opera,Windows,"Cincinnati, Ohio"
3478,U0635,Pe358fff,AS396,Custom Audience,60,Female,44995,"Fitness, Sports",Laptop,Firefox,Linux,"Cleveland, Ohio"
3477,U0475,O4928084,AS295,Custom Audience,50,Male,118220,Music,Desktop,Opera,Windows,"Columbus, Ohio"
3476,U0042,P8ce01a3,AS488,1P Audience,51,Male,84850,"Gaming, Auto",Tablet,Opera,macOS,"Cincinnati, Ohio"
3475,U0787,P6f97a97,AS139,3P Audience,53,Female,55464,"Food, Sports, Music",Smartphone,Firefox,macOS,"Columbus, Ohio"
3474,U0567,O3519910,AS379,3P Audience,61,Female,117353,Travel,Desktop,Safari,Android,"Columbus, Ohio"
3473,U0745,O616e7f0,AS288,Custom Audience,39,Female,61334,"Fashion, Auto, Sports",Laptop,Edge,Android,"Columbus, Ohio"
3472,U0960,P02a4444,AS237,Custom Audience,61,Female,98573,"Fashion, Sports, Music",Smartphone,Chrome,Windows,"Columbus, Ohio"
3471,U0819,P5681a40,AS238,3P Audience,63,Male,36937,"Music, Fitness",Laptop,Chrome,macOS,"Cleveland, Ohio"
3470,U0603,Pe549fa0,AS487,3P Audience,60,Female,64877,Fitness,Tablet,Edge,iOS,"Columbus, Ohio"
3469,U0031,O2b702e7,AS376,Custom Audience,51,Male,72537,Art,Desktop,Firefox,Android,"Cleveland, Ohio"
3468,U0926,Pe0ca383,AS468,3P Audience,69,Female,112991,Gaming,Laptop,Chrome,macOS,"Cincinnati, Ohio"
3467,U0767,P37b604a,AS080,Custom Audience,66,Female,73579,Auto,Laptop,Edge,macOS,"Columbus, Ohio"
3466,U0379,Od83652c,AS117,1P Audience,45,Female,93443,Food,Tablet,Firefox,Android,"Cincinnati, Ohio"
3465,U0976,O346b91e,AS038,3P Audience,58,Female,75061,"Travel, Fitness, Food",Smartphone,Safari,Android,"Columbus, Ohio"
3464,U0009,O8ae0885,AS402,3P Audience,41,Female,86692,"Auto, Art, Travel",Tablet,Firefox,Linux,"Columbus, Ohio"
3463,U0641,Oaddf3ab,AS222,Custom Audience,22,Female,87125,"Auto, Fashion, Food",Desktop,Opera,macOS,"Cleveland, Ohio"
3462,U0188,O32d9270,AS231,1P Audience,26,Male,71634,"Gaming, Travel, Auto",Laptop,Opera,macOS,"Cleveland, Ohio"
3461,U0662,O33f8043,AS156,1P Audience,65,Female,88259,"Art, Fitness",Laptop,Chrome,Linux,"Cincinnati, Ohio"
3460,U0560,O0ae02d0,AS162,3P Audience,62,Male,46691,"Travel, Music, Food",Laptop,Edge,Linux,"Cincinnati, Ohio"
3459,U0229,Pefc0499,AS288,Custom Audience,26,Male,58596,"Gaming, Fashion, Technology",Desktop,Edge,Android,"Columbus, Ohio"
3458,U0368,P496529d,AS470,1P Audience,33,Male,83222,Food,Smartphone,Safari,Linux,"Cleveland, Ohio"
3457,U0299,Pbbc7c6a,AS201,Custom Audience,55,Female,102698,Music,Desktop,Opera,iOS,"Columbus, Ohio"
3456,U0728,O2d69d27,AS134,Custom Audience,27,Female,31458,"Travel, Auto",Smartphone,Chrome,Android,"Cincinnati, Ohio"
3455,U0608,O83e49f3,AS132,Custom Audience,51,Male,85447,"Music, Travel, Technology",Smartphone,Chrome,Android,"Cincinnati, Ohio"
3454,U0299,Ofee5144,AS052,3P Audience,55,Female,102698,Sports,Smartphone,Chrome,Windows,"Cincinnati, Ohio"
3453,U0626,P6b33add,AS302,1P Audience,54,Female,34010,Gaming,Tablet,Safari,macOS,"Cleveland, Ohio"
3452,U0890,P11f0391,AS210,Custom Audience,69,Female,76998,Auto,Laptop,Edge,Windows,"Cincinnati, Ohio"
3451,U0666,Pe2eeda9,AS446,1P Audience,57,Female,71100,Gaming,Desktop,Safari,macOS,"Cleveland, Ohio"
3450,U0908,O194c16d,AS196,3P Audience,55,Female,86624,Fitness,Tablet,Chrome,macOS,"Columbus, Ohio"
3449,U0555,P338d246,AS052,1P Audience,34,Male,70465,"Fashion, Technology",Smartphone,Chrome,Linux,"Columbus, Ohio"
3448,U0926,O73321d9,AS046,3P Audience,69,Female,112991,Food,Desktop,Chrome,Windows,"Columbus, Ohio"
